Date,SOLLTEMPERATUR HK 1,SOLLTEMPERATUR HK 2,ISTTEMPERATUR,SOLLTEMPERATUR,BIVALENZTEMPERATUR HZG,BIVALENZTEMPERATUR WW,VERFLÜSSIGERTEMP.,DRUCK HEIZKREIS,VOLUMENSTROM,LEISTUNG WP,LSTG PU PUMPE,AUSSENTEMPERATUR,ISTTEMPERATUR HK 1,SOLLTEMPERATUR HK 1,ISTTEMPERATUR HK 2,SOLLTEMPERATUR HK 2,VORLAUFISTTEMPERATUR WP,VORLAUFISTTEMPERATUR NHZ,RÜCKLAUFISTTEMPERATUR,FESTWERTSOLLTEMPERATUR,PUFFERSOLLTEMPERATUR,PUFFERISTTEMPERATUR,RESTSTILLSTANDZEIT,VD HEIZEN,VD WARMWASSER,NHZ 1,NHZ 2,VD HEIZEN TAG,VD HEIZEN SUMME,VD WARMWASSER TAG,VD WARMWASSER SUMME,NHZ HEIZEN SUMME,MIN,MIDDLE,MAX,HEIZEN,WARMWASSER
2017 09 09 00:15:31,22.0,22.0,45.7,50.0,-12.0,-12.0,18.1,2.37,0.0,0,0,10.6,25.9,22.0,27.7,22.0,33.6,32.7,31.2,30.0,30.0,25.9,0,2165,273,0,0,3.468,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 00:25:29,22.0,22.0,45.6,50.0,-12.0,-12.0,30.5,2.45,33.4,20,80,10.4,29.4,22.0,28.7,22.0,34.2,33.9,30.8,30.0,30.0,29.4,0,2165,273,0,0,3.468,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 00:25:32,22.0,22.0,45.6,50.0,-12.0,-12.0,30.5,2.45,33.4,20,80,10.4,29.4,22.0,28.7,22.0,34.2,33.9,30.8,30.0,30.0,29.4,0,2165,273,0,0,3.468,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 00:25:34,22.0,22.0,45.6,50.0,-12.0,-12.0,30.5,2.45,33.4,20,80,10.4,29.4,22.0,28.7,22.0,34.2,33.9,30.8,30.0,30.0,29.4,0,2165,273,0,0,3.468,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 00:35:29,22.0,22.0,45.6,50.0,-12.0,-12.0,33.2,2.45,32.4,20,80,10.3,32.6,22.0,28.7,22.0,36.9,36.6,33.5,30.0,30.0,32.6,0,2165,273,0,0,3.468,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 00:35:33,22.0,22.0,45.6,50.0,-12.0,-12.0,33.2,2.45,32.4,20,80,10.2,32.6,22.0,28.7,22.0,36.9,36.6,33.6,30.0,30.0,32.6,0,2165,273,0,0,3.468,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 00:35:34,22.0,22.0,45.6,50.0,-12.0,-12.0,33.2,2.45,32.4,20,80,10.2,32.6,22.0,28.7,22.0,36.9,36.6,33.6,30.0,30.0,32.6,0,2165,273,0,0,3.468,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 00:45:29,22.0,22.0,45.6,50.0,-12.0,-12.0,33.2,2.37,0.0,0,0,10.3,34.3,22.0,28.1,22.0,35.2,35.4,33.6,30.0,30.0,34.3,487,2165,273,0,0,3.468,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 00:45:33,22.0,22.0,45.6,50.0,-12.0,-12.0,33.2,2.37,0.0,0,0,10.3,34.3,22.0,28.1,22.0,35.2,35.4,33.6,30.0,30.0,34.3,487,2165,273,0,0,3.468,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 00:45:34,22.0,22.0,45.6,50.0,-12.0,-12.0,33.2,2.37,0.0,0,0,10.3,34.3,22.0,28.1,22.0,35.2,35.4,33.6,30.0,30.0,34.3,487,2165,273,0,0,3.468,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 00:55:29,22.0,22.0,45.6,50.0,-12.0,-12.0,27.8,2.37,0.0,0,0,10.1,34.3,22.0,28.1,22.0,35.0,34.8,33.1,30.0,30.0,34.3,0,2165,273,0,0,3.468,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 00:55:32,22.0,22.0,45.6,50.0,-12.0,-12.0,27.2,2.37,0.0,0,0,10.1,34.3,22.0,28.1,22.0,35.0,34.8,33.1,30.0,30.0,34.3,0,2165,273,0,0,3.468,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 00:55:34,22.0,22.0,45.6,50.0,-12.0,-12.0,27.2,2.37,0.0,0,0,10.1,34.3,22.0,28.1,22.0,35.0,34.8,33.1,30.0,30.0,34.3,0,2165,273,0,0,3.468,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 01:05:29,22.0,22.0,45.6,50.0,-12.0,-12.0,21.3,2.37,0.0,0,0,10.2,33.2,22.0,28.1,22.0,34.7,34.3,32.7,30.0,30.0,33.2,0,2165,273,0,0,6.397,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 01:05:32,22.0,22.0,45.6,50.0,-12.0,-12.0,21.3,2.37,0.0,0,0,10.2,33.2,22.0,28.1,22.0,34.7,34.3,32.7,30.0,30.0,33.2,0,2165,273,0,0,6.397,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
